NAME_KA,Name_EN,Name_RU,type,x,y,Region_geo,Region_Eng,Distr_Geo,Distr_Eng
ხაიში,Khaishi,Хаиши,town,     42.08662449840,     42.93126073010,სამეგრელო,Samegrelo,მესტია,Mestia
მესტია,Mestia,Местиа,town,     42.74157443100,     43.05224278890,სამეგრელო,Samegrelo,მესტია,Mestia
უშგული,Ushguli,Ушгули,town,     43.01534715320,     42.91631138400,სამეგრელო,Samegrelo,მესტია,Mestia
ლენტეხი,Lentekhi,Лентехи,town,     42.72236570510,     42.79022543280,რაჭა-ლეჩხუმი,Racha-Lechkhumi,ლენტეხი,Lentekhi
წალენჯიხა,Tsalenjikha,Цаленджиха,town,     42.07195554560,     42.61097922990,სამეგრელო,Samegrelo,წალენჯიხა,Tsalenjikha
ჩხოროწყუ,Chkhorotsku,Чхороцку,town,     42.12813259690,     42.52181794590,სამეგრელო,Samegrelo,ჩხოროწყუ,Chkhorotsku
ამბროლაური,Ambrolauri,Амбролаури,town,     43.14810805110,     42.52029139300,რაჭა-ლეჩხუმი,Racha-Lechkhumi,ამბროლაური,Ambrolauri
მარტვილი,Martvili,Мартвили,town,     42.37652525260,     42.41486362980,სამეგრელო,Samegrelo,მარტვილი,Martvili
ცაგერი,Tsageri,Цагери,town,     42.76867674230,     42.64709175870,რაჭა-ლეჩხუმი,Racha-Lechkhumi,ცაგერი,Tsageri
ახალგორი,Akhalgori,Ахалгори,city,     44.48377304020,     42.12374258330,სამხრეთ ოსეთი,South Ossetia,ახალგორი,Akhalgori
ზუგდიდი,Zugdidi,Зугдиди,city,     41.86836449360,     42.50871518150,სამეგრელო,Samegrelo,ზუგდიდი,Zugdidi
ხონი,Khoni,Хони,town,     42.42889310440,     42.31898638820,იმერეთი,Imereti,ხონი,Khoni
ახმეტა,Akhmeta,Ахмета,city,     45.21023987040,     42.03417612140,კახეთი,Kakheti,ახმეტა,Akhmeta
ტყიბული,Tkibuli,Ткибули,town,     42.99905453530,     42.34730558790,იმერეთი,Imereti,ტყიბული,Tkibuli
რუსთავი,Rustavi,Рустави,city,     45.02337071740,     41.53800459640,ქვემო ქართლი,Kvemo Kartli,რუსთავი,Rustavi
ქუთაისი,Kutaisi,Кутаиси,city,     42.68420644290,     42.25820716610,იმერეთი,Imereti,ქუთაისი,Kutaisi
წყალტუბო,Tskaltubo,Цкалтубо,town,     42.60354783410,     42.32120389330,იმერეთი,Imereti,წყალტუბო,Tskaltubo
სენაკი,Senaki,Сенаки,town,     42.06651833130,     42.27108414270,სამეგრელო,Samegrelo,სენაკი,Senaki
