Region_geo,Region_Eng,Distr_Geo,Distr_Eng,x,y
აბხაზეთი,Abkhazia,გაგრა,Gagra,     40.26828903560,     43.41506666420
აბხაზეთი,Abkhazia,გუდაუთა,Gudauta,     40.62125140520,     43.29047628420
აბხაზეთი,Abkhazia,სოხუმი,Sokhumi,     40.99360687390,     43.25573035760
აბხაზეთი,Abkhazia,გულრიფში,Gulripshi,     41.48479414950,     43.12663339740
სამეგრელო,Samegrelo,მესტია,Mestia,     42.47239785600,     43.01993201090
აბხაზეთი,Abkhazia,ოჩამჩირე,Ochamchire,     41.60732964620,     42.91263701060
რაჭა-ლეჩხუმი,Racha-Lechkhumi,ლენტეხი,Lentekhi,     42.84394900570,     42.81959343520
სამხრეთ ოსეთი,South Ossetia,ჯავა,Java,     43.90654637680,     42.48894442080
სამეგრელო,Samegrelo,წალენჯიხა,Tsalenjikha,     42.06918169090,     42.71577321660
აბხაზეთი,Abkhazia,გალი,Gali,     41.71598788530,     42.63637710860
სამეგრელო,Samegrelo,ჩხოროწყუ,Chkhorotsku,     42.23212154020,     42.62878102270
რაჭა-ლეჩხუმი,Racha-Lechkhumi,ამბროლაური,Ambrolauri,     43.12087175920,     42.57104852690
სამეგრელო,Samegrelo,მარტვილი,Martvili,     42.39201640380,     42.53277436940
რაჭა-ლეჩხუმი,Racha-Lechkhumi,ცაგერი,Tsageri,     42.79211232780,     42.62680655450
სამხრეთ ოსეთი,South Ossetia,ახალგორი,Akhalgori,     44.44286917310,     42.24311993820
სამეგრელო,Samegrelo,ზუგდიდი,Zugdidi,     41.82111413100,     42.46760770260
იმერეთი,Imereti,ხონი,Khoni,     42.49631190240,     42.39278602050
კახეთი,Kakheti,ახმეტა,Akhmeta,     45.37382534710,     42.25951406050
იმერეთი,Imereti,ტყიბული,Tkibuli,     42.91525564310,     42.35818154440
ქვემო ქართლი,Kvemo Kartli,რუსთავი,Rustavi,     45.02337071750,     41.53800459640
იმერეთი,Imereti,ქუთაისი,Kutaisi,     42.68420644310,     42.25820716610
იმერეთი,Imereti,წყალტუბო,Tskaltubo,     42.64643941680,     42.30916316040
აჭარა,Adjara,ბათუმი,Batumi,     41.65073648990,     41.64609607810
სამეგრელო,Samegrelo,სენაკი,Senaki,     42.08485526230,     42.30312079950
იმერეთი,Imereti,ჭიათურა,Chiatura,     43.26833901900,     42.27727847410
მცხეთა-მთიანეთი,Mtskheta-Mtianeti,თიანეთი,Tianeti,     45.00920346740,     42.12742520580
სამხრეთ ოსეთი,South Ossetia,ზნაური,Znauri,     43.75778745400,     42.23200101150
სამეგრელო,Samegrelo,აბაშა,Abasha,     42.20191515460,     42.19861563060
იმერეთი,Imereti,თერჯოლა,Terjola,     42.92790960910,     42.23246331870
იმერეთი,Imereti,სამტრედია,Samtredia,     42.37098370930,     42.15447504260
კახეთი,Kakheti,თელავი,Telavi,     45.50879882040,     42.02594967850
სამეგრელო,Samegrelo,ფოთი,Poti,     41.69781563360,     42.14025533170
იმერეთი,Imereti,ზესტაფონი,Zestaponi,     43.04883829980,     42.13376147140
იმერეთი,Imereti,ბაღდათი,Baghdati,     42.88090768320,     41.97105993650
გურია,Guria,ლანჩხუთი,Lanchkhuti,     41.95005747660,     42.08031175640
იმერეთი,Imereti,ხარაგაული,Kharagauli,     43.26556077050,     42.00491699790
იმერეთი,Imereti,ვანი,Vani,     42.61112957330,     42.01519643220
კახეთი,Kakheti,ყვარელი,Kvareli,     45.85963928150,     41.97014384670
გურია,Guria,ჩოხატაური,Chokhatauri,     42.39337498780,     41.93027676220
გურია,Guria,ოზურგეთი,Ozurgeti,     42.03280943980,     41.91814065680
კახეთი,Kakheti,ლაგოდეხი,Lagodekhi,     46.16751104290,     41.82915640550
სამცხე-ჯავახეთი,Samtskhe-Javakheti,ბორჯომი,Borjomi,     43.48885503300,     41.77567562680
აჭარა,Adjara,ქობულეთი,Kobuleti,     41.92609433830,     41.76520088230
აბხაზეთი,Abkhazia,ქალაქი სოხუმი,Sokhumi City,     40.99253122810,     43.00272589550
სამხრეთ ოსეთი,South Ossetia,ქალაქი ცხინვალი,Tskhinvali City,     43.96876012430,     42.22466405680
კახეთი,Kakheti,საგარეჯო,Sagarejo,     45.37231767100,     41.66450498620
კახეთი,Kakheti,გურჯაანი,Gurjaani,     45.74005516320,     41.73050714320
აჭარა,Adjara,ხულო,Khulo,     42.42499453580,     41.65251901140
სამცხე-ჯავახეთი,Samtskhe-Javakheti,ადიგენი,Adigeni,     42.71858501330,     41.71668223810
სამცხე-ჯავახეთი,Samtskhe-Javakheti,ახალციხე,Akhaltsikhe,     43.01869929130,     41.64074011550
აჭარა,Adjara,შუახევი,Shuakhevi,     42.25053809720,     41.60549372100
ქვემო ქართლი,Kvemo Kartli,წალკა,Tsalka,     43.97140460500,     41.62201183340
აჭარა,Adjara,ქედა,Keda,     41.96989072180,     41.59277922960
სამცხე-ჯავახეთი,Samtskhe-Javakheti,ასპინძა,Aspindza,     43.21783632880,     41.50086354910
კახეთი,Kakheti,სიღნაღი,Sighnaghi,     45.93723490060,     41.51115564610
სამცხე-ჯავახეთი,Samtskhe-Javakheti,ახალქალაქი,Akhalkalaki,     43.46077726070,     41.43445315420
კახეთი,Kakheti,დედოფლისწყარო,Dedoplistskaro,     46.24686942970,     41.31144003320
