En_Name,x,y,NAME_KA,cityDistr
"Orkhevi, Aeroporti",     44.92861017960,     41.71388327090,"ორხევი, აეროპორტი",Isani-Samgori
Temka,     44.85020033880,     41.75172903130,თემქა,Gldani-Nadzaladevi
Dighomi-Vashlijvari,     44.72958217440,     41.78266875990,დიღომი-ვაშლიჯვარი,Vake-Saburtalo
Zemo Chughureti,     44.82298956450,     41.71845777410,ზემო ჩუღურეთი,Didube-Chughureti
Didgori,     44.70296666420,     41.66813517900,დიდგორი,Didgori
"Mtatsminda, Sololaki, Ortachala",     44.79320129840,     41.68760642450,"მთაწმინდა, სოლოლაკი, ორთაჭალა",Old Tbilisi
Krtsanisi-Ponichala,     44.86124511960,     41.65651719420,კრწანისი-ფონიჭალა,Isani-Samgori
Vake-Bagebi,     44.73994049100,     41.70742258660,ვაკე-ბაგები,Vake-Saburtalo
Nutsubidze Mikroraionebi,     44.71527486940,     41.73644042650,ნუცუბიძის მიკრორაიონები,Vake-Saburtalo
Vazha-Pshavelas Kvartlebi,     44.71194730830,     41.72511455890,ვაჟა-ფშაველას კვარტლები,Vake-Saburtalo
Kostava-Bakhtrioni-Dolidze-Khiliani,     44.76969460660,     41.71923630480,კოსტავა-ბახტრიონი-დოლიძე-ხილიანი,Vake-Saburtalo
Vedzisi-Kazbegi-Gotua-Saburtalo,     44.76001984470,     41.73021814830,ვეძისი-ყაზბეგი-გოთუა-საბურთალოს ქუჩა,Vake-Saburtalo
"Vera, Tamarmepe and Aghmashenebeli",     44.77469343610,     41.70207421830,"ვერა, თამარმეფის და აღმაშენებლის გამზირი",Old Tbilisi
Kveda Chughureti - Avlabari,     44.80982458570,     41.70178299870,ქვედა ჩუღურეთი - ავლაბარი,Old Tbilisi
Avchala - Gldanis Khevi,     44.79718482390,     41.81752102360,ავჭალა-გლდანის ხევი,Gldani-Nadzaladevi
Gldanis Lutsi Mikroraionebi,     44.81813933520,     41.80375843130,გლდანის ლუწი მიკრორაიონები,Gldani-Nadzaladevi
Gldanis Kenti Mikroraionebi,     44.85973525730,     41.80266738840,გლდანის კენტი მიკრორაიონები,Gldani-Nadzaladevi
Mukhiani,     44.85191314670,     41.77894388530,მუხიანი,Gldani-Nadzaladevi
"Dzveli Nadzaladevi, Lotkini",     44.83135333580,     41.73248189360,"ძველი ნაძალადევი, ლოტკინი",Gldani-Nadzaladevi
Sanzona,     44.79654915320,     41.76494712090,სანზონა,Gldani-Nadzaladevi
Nadzaladevi,     44.80501391300,     41.74578729190,ნაძალადევი,Gldani-Nadzaladevi
Kvemo Samgori,     44.91566484640,     41.66563747390,ქვემო სამგორი,Isani-Samgori
Lilo,     44.98008786170,     41.71313612530,ლილო,Isani-Samgori
Mesame Masivi,     44.88390710420,     41.69498609060,მესამე მასივი,Isani-Samgori
Zemo Avlabari - Metromsheni,     44.83425209720,     41.69501123320,ზემო ავლაბარი-მეტრომშენი,Isani-Samgori
"Vazisubani, Me-8 Legioni",     44.85056170730,     41.70181350540,"ვაზისუბანი, მე-8 ლეგიონი",Isani-Samgori
Varketili,     44.86910189500,     41.71034579470,ვარკეთილი,Isani-Samgori
Navtlughi,     44.85611257720,     41.67823608180,ნავთლუღი,Isani-Samgori
Dighmis Masivi,     44.77630464440,     41.77186526800,დიღმის მასივი,Didube-Chughureti
Didube,     44.78007305580,     41.73774848230,დიდუბე,Didube-Chughureti
