Region_geo,Region_Eng,x,y
აბხაზეთი,Abkhazia,     41.16766941100,     43.10842573210
სამეგრელო,Samegrelo,     42.24734646970,     42.69680265670
რაჭა-ლეჩხუმი,Racha-Lechkhumi,     43.09044872240,     42.68508102510
სამხრეთ ოსეთი,South Ossetia,     44.08606939600,     42.35241897050
იმერეთი,Imereti,     42.95026371800,     42.17506973390
კახეთი,Kakheti,     45.77028961270,     41.76841114900
ქვემო ქართლი,Kvemo Kartli,     44.48890160020,     41.49507681790
აჭარა,Adjara,     42.08889787000,     41.64917337760
მცხეთა-მთიანეთი,Mtskheta-Mtianeti,     44.80476246590,     42.31735652220
გურია,Guria,     42.15651509050,     41.96689017170
სამცხე-ჯავახეთი,Samtskhe-Javakheti,     43.33121512340,     41.54325100380
თბილისი,Tbilisi,     44.81254632440,     41.72133975130
შიდა ქართლი,Shida Kartli,     44.01351350660,     41.95820684750
