type,Name_EN,Name_KA,Name_RU,Region_Eng,Distr_Eng,x,y
village,Akhalsheni,ახალშენი,Ахалшени,Samegrelo,Mestia,     42.68789430000,     43.03021320000
village,Kashueti,ქაშუეთი,Кашуети,Samegrelo,Mestia,     42.69331550000,     43.03174030000
village,Lashtkhveri,ლაშთხვერი,Лаштхвери,Samegrelo,Mestia,     42.69676300000,     43.03389030000
village,Laaroli(Sokos Ubani),ლააროლი(სოკოს უბანი),Лаароли(сокос Убани),Samegrelo,Mestia,     42.70770380000,     43.03991190000
village,Nakumbovi,ნაკუმბოვი,Накумбови,Samegrelo,Mestia,     42.09493500000,     42.93556970000
village,Zaargashi,ზაარგაში,Зааргаши,Samegrelo,Mestia,     42.75430110000,     43.07125900000
town,Lenjeri,ლენჯერი,Ленджери,Samegrelo,Mestia,     42.68873750000,     43.03191500000
village,Akhalsheni,ახალშენი,Ахалшени,Samegrelo,Mestia,     42.61698500000,     43.06710370000
village,Zegani,ზეგანი,Зегани,Samegrelo,Mestia,     42.81369040000,     43.00539770000
village,Kvantchianari,კვანჭიანარი,Кванчианари,Samegrelo,Mestia,     42.62432390000,     43.01164080000
village,Nodashi,ნოდაში,Нодаши,Samegrelo,Mestia,     42.42183080000,     43.05500640000
village,Atsa,აცა,Аца,Samegrelo,Mestia,     42.75280340000,     43.00703890000
village,Doli,დოლი,Доли,Samegrelo,Mestia,     42.57752710000,     43.03321520000
village,Davberi,დავბერი,Давбери,Samegrelo,Mestia,     42.92933800000,     42.93038280000
village,Vichnashi,ვიჩნაში,Вичнаши,Samegrelo,Mestia,     42.90214030000,     42.94366810000
village,Lalaidi,ლალაიდი,Лалаиди,Samegrelo,Mestia,     42.74577030000,     43.05761260000
village,Larilari,ლარილარი,Ларилари,Samegrelo,Mestia,     42.18895240000,     43.04524790000
village,Ladreli,ლადრელი,Ладрели,Samegrelo,Mestia,     42.50338110000,     43.03623080000
village,Hamashi,ჰამაში,Гамаши,Samegrelo,Mestia,     42.45191570000,     43.05455460000
village,Kvemo Kalashi,ქვემო კალაში,Квемо Калаши,Samegrelo,Mestia,     42.51975740000,     43.02799000000
village,Lamkheri,ლამხერი,Ламхери,Samegrelo,Mestia,     42.48905400000,     43.04918780000
village,Laghami,ლაღამი,Лагами,Samegrelo,Mestia,     42.73951380000,     43.05438990000
village,Artskheli,არცხელი,Арцхели,Samegrelo,Mestia,     42.79327250000,     43.04942120000
village,Nesgoubani,ნესგოუბანი,Несгоубани,Samegrelo,Mestia,     42.80447000000,     43.01557890000
village,Tobari,ტობარი,Тобари,Samegrelo,Mestia,     42.19456860000,     42.96504440000
village,Dolasvipi,დოლასვიფი,Доласвипи,Samegrelo,Mestia,     42.58546330000,     43.03209920000
village,Lalkhori,ლალხორი,Лалхори,Samegrelo,Mestia,     42.92127000000,     42.93154380000
village,Rehari,რეჰარი,Регари,Samegrelo,Mestia,     42.75240380000,     43.06519130000
village,Zagraali,ზაგრაალი,Заграали,Samegrelo,Mestia,     42.62115520000,     43.01583060000
village,Lakhamula,ლახამულა,Лахамула,Samegrelo,Mestia,     42.44269090000,     43.05065250000
town,Heshkili,ჰეშკილი,Гешкили,Samegrelo,Mestia,     42.70745650000,     43.01750720000
village,Lakhami,ლახამი,Лахами,Samegrelo,Mestia,     42.18330350000,     42.99229430000
village,Spadishi,სპადიში,Спадиши,Samegrelo,Mestia,     42.71765790000,     43.03930760000
village,Lezgara,ლეზგარა,Лезгара,Samegrelo,Mestia,     42.54870520000,     43.00207640000
village,Kurashi,ქურაში,Кураши,Samegrelo,Mestia,     42.53111540000,     43.05004090000
village,Kvakva,კვაკვა,Кваква,Samegrelo,Mestia,     42.06954440000,     42.91221940000
village,Ladreli,ლამნდ,Ладрели,Samegrelo,Mestia,     42.80314460000,     43.01567770000
village,Kaeri,კაერი,Каери,Samegrelo,Mestia,     42.68407700000,     43.03286420000
village,Pkhutreri,ფხუტრერი,Пхутрери,Samegrelo,Mestia,     42.51334620000,     43.04490450000
village,Murkmili,მურყმილი,Муркмили,Samegrelo,Mestia,     42.99897890000,     42.91343290000
village,Zeda Luha,ზედა ლუჰა,Зеда Луга,Samegrelo,Mestia,     42.48576360000,     43.04195680000
town,Kala,კალა,Кала,Samegrelo,Mestia,     42.92695870000,     42.93316560000
village,Tvebishi,ტვებიში,Твебиши,Samegrelo,Mestia,     42.59908760000,     43.07376380000
village,Lenkheroli,ლენხეროლი,Ленхероли,Samegrelo,Mestia,     42.08850350000,     42.93345250000
village,Majvdieri,მაჯვდიერი,Маджвдиери,Samegrelo,Mestia,     42.84204300000,     43.04328220000
village,Pari(Mazhibchu),ფარი(მაჟიბჩუ),Пари(мажибчу),Samegrelo,Mestia,     42.49321680000,     43.05235190000
village,Bagvdanari,ბაგვდანარი,Багвданари,Samegrelo,Mestia,     42.61693060000,     43.06927980000
village,Nakipari,ნაკიფარი,Накипари,Samegrelo,Mestia,     42.81811900000,     43.01047590000
village,Matskhvaarishi,მაცხვაარიში,Мацхваариши,Samegrelo,Mestia,     42.62441720000,     43.01559710000
town,Tsvirmi,წვირმი,Цвирми,Samegrelo,Mestia,     42.80659990000,     43.01538130000
village,Ebuti,ებუთი,Ебути,Samegrelo,Mestia,     42.55372440000,     43.02841650000
village,Lamjurishi,ლამჯურიში,Ламджуриши,Samegrelo,Mestia,     43.01737900000,     42.91561510000
village,Kveda Tzvirmidni,ქვედა წვირმინდი,Кведа Цвирминди,Samegrelo,Mestia,     42.19730680000,     42.93567830000
village,Lemsia,ლემსია,Лемсиа,Samegrelo,Mestia,     42.69030780000,     43.03491210000
village,Shgedi,შგედი,Шгеди,Samegrelo,Mestia,     42.73074550000,     43.04065500000
village,Galashi,გალაში,Галаши,Samegrelo,Mestia,     42.59183440000,     43.03894940000
village,Lashkhreli,ლაშხრელი,Лашхрели,Samegrelo,Mestia,     42.50871740000,     43.03489120000
village,Totoleshi,თოთოლეში,Тотолеши,Samegrelo,Mestia,     42.45288460000,     43.06446240000
village,Gvaldiri,გვალდირი,Гвалдири,Samegrelo,Mestia,     42.50835050000,     43.02520510000
village,Tsaaldashi,ცაალდაში,Цаалдаши,Samegrelo,Mestia,     42.86033810000,     43.04385010000
village,Lakvri,ლაყვრი,Лакври,Samegrelo,Mestia,     42.47621410000,     43.06197090000
village,Lanchvali,ლანჩვალი,Ланчвали,Samegrelo,Mestia,     42.73125920000,     43.04670820000
village,Nakra,ნაკრა,Накра,Samegrelo,Mestia,     42.38566320000,     43.08413700000
village,Murshkeli,მურშკელი,Муршкели,Samegrelo,Mestia,     42.79316330000,     43.05578500000
village,Letsperi,ლეწფერი,Лецпери,Samegrelo,Mestia,     42.18790620000,     43.01664760000
village,Kvemo Ushkhvanari,ქვემო უშხვანარი,Квемо Ушхванари,Samegrelo,Mestia,     42.61027270000,     43.05117060000
village,Khe,ხე,Хе,Samegrelo,Mestia,     42.91077170000,     42.93928830000
village,Khosrari,ხოსრარი,Хосрари,Samegrelo,Mestia,     42.46939960000,     43.06285630000
village,Kveda Ipari,ქვედა იფარი,Кведа Ипари,Samegrelo,Mestia,     42.30234900000,     43.00773240000
town,Ieli,იელი,Иели,Samegrelo,Mestia,     42.75817270000,     43.01063210000
village,Zemo Vedi,ზემო ვედი,Земо Веди,Samegrelo,Mestia,     42.19293920000,     42.90608260000
town,Mestia,მესტია,Местиа,Samegrelo,Mestia,     42.72541090000,     43.04403640000
village,Labskaldi,ლაბსყალდი,Лабскалди,Samegrelo,Mestia,     42.57502210000,     43.00033450000
village,Kvemo Choubani,ქვემო ჩოუბანი,Квемо Чоубани,Samegrelo,Mestia,     42.79992720000,     43.01339280000
village,Kvemo Vedi,ქვემო ვედი,Квемо Веди,Samegrelo,Mestia,     42.19475070000,     42.91679450000
village,Soli,სოლი,Соли,Samegrelo,Mestia,     42.67606480000,     43.03026590000
village,Lekhtagi,ლეხთაგი,Лехтаги,Samegrelo,Mestia,     42.72147960000,     43.04538780000
village,Lanteli,ლანტელი,Лантели,Samegrelo,Mestia,     42.51369550000,     43.03757890000
village,Tviberi,ტვიბერი,Твибери,Samegrelo,Mestia,     42.80704340000,     43.01666000000
village,Leburtskhila,ლებურცხილა,Лебурцхила,Samegrelo,Mestia,     42.07434270000,     42.92008820000
village,Lakhiri,ლახირი,Лахири,Samegrelo,Mestia,     42.81411740000,     43.05541050000
village,Tsitskhvari,ციცხვარი,Цицхвари,Samegrelo,Mestia,     42.10836150000,     42.93166990000
village,Agrai,აგრაი,Аграи,Samegrelo,Mestia,     42.91415280000,     42.94362240000
village,Tviberi,ტვიბერი,Твибери,Samegrelo,Mestia,     42.54623960000,     43.00869510000
village,Nankvami,ნანყვამი,Нанквами,Samegrelo,Mestia,     42.61792050000,     43.01768310000
village,Lankhvri,ლანხვრი,Ланхври,Samegrelo,Mestia,     42.55294970000,     43.02071050000
village,Iprali,იფრალი,Ипрали,Samegrelo,Mestia,     42.92436000000,     42.93696550000
